Timestamp,Distance (cm)
30/07/2024 22:21,303 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,303 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,303 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,303 cm
30/07/2024 22:21,303 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,303 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,303 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:22,301 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,301 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,301 cm
30/07/2024 22:22,303 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,301 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,303 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,303 cm
30/07/2024 22:22,301 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,301 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,301 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,303 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,301 cm
30/07/2024 22:22,303 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,303 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,301 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,301 cm
30/07/2024 22:22,301 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,301 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,301 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,301 cm
30/07/2024 22:22,301 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,301 cm
30/07/2024 22:22,302 cm
30/07/2024 22:22,303 cm
30/07/2024 22:22,303 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,303 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,303 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,303 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,293 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,303 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,302 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,301 cm
30/07/2024 22:23,301 cm
30/07/2024 22:24,301 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,301 cm
30/07/2024 22:24,301 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,301 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,301 cm
30/07/2024 22:24,301 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,303 cm
30/07/2024 22:24,301 cm
30/07/2024 22:24,301 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,301 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,301 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,301 cm
30/07/2024 22:24,303 cm
30/07/2024 22:24,301 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,301 cm
30/07/2024 22:24,302 cm
30/07/2024 22:24,301 cm
